"Time","sensor-readings.reading"
1652926662000,22.4
1652927227000,22.6
1652927826000,22.4
1652929588000,22.6
1652930787000,22.4
1652948856000,22.6
1652951828000,22.8
1652955982000,23
1652957219000,22.8
1652957788000,23
1652960186000,23.2
1652961413000,23.4
1652961994000,23.2
1652962635000,23.4
1652969186000,23.2
1652969778000,23.4
1652972243000,23.2
1652976448000,23
1652984226000,22.8
1652985407000,23
1652985989000,22.8
1652993816000,22.6
1652994382000,22.8
1652996177000,22.6
1652998642000,22.8
1652999197000,22.6
1653013592000,22.4
1653014785000,22.6
1653016586000,22.4
1653035243000,22.6
1653035852000,22.4
1653036378000,22.6
1653036979000,22.4
1653038183000,22.6
1653041231000,22.8
1653041822000,22.6
1653042421000,22.8
1653043008000,22.6
1653044172000,22.8
1653049617000,23
1653071220000,22.8
1653074171000,23
1653075371000,22.8
1653090979000,22.6
1653093377000,22.8
1653096410000,22.6
1653096978000,22.8
1653109000000,22.6
1653109583000,22.8
1653114979000,22.6
1653116231000,22.8
1653118008000,22.6
1653118601000,22.8
1653127575000,23
1653128811000,22.8
1653129374000,23
1653165413000,22.8
1653167220000,23
1653167812000,22.8
1653168390000,23
1653170198000,22.8
1653173821000,23
1653175004000,22.8
1653177428000,23
1653178012000,22.8
1653210368000,23
1653219971000,23.2
1653220572000,23
1653230177000,23.2
1653239169000,23
1653241571000,23.2
1653243394000,23
1653257174000,22.8
1653260193000,23
1653260770000,22.8
1653261407000,23
1653262607000,22.8
1653265595000,23
1653266205000,22.8
1653295596000,23
1653298002000,23.2
1653300817000,0
1653300872000,23.2
1653301017000,23
1653301602000,23.2
1653307634000,23.4
1653311798000,23.6
1653312391000,23.4
1653314182000,23.6
1653319622000,23.4
1653323178000,23.2
1653328602000,23
1653329210000,23.2
1653332802000,23
1653343591000,22.8
1653344168000,23
1653344815000,22.8
1653345353000,23
1653345968000,22.8
1653360357000,22.6
1653360989000,22.8
1653366422000,22.6
1653366968000,22.8
1653367559000,22.6
1653368834000,22.8
1653369437000,22.6
1653371183000,22.8
1653371851000,22.6
1653372393000,22.8
1653372916000,22.8
1653374199000,22.6
1653374823000,22.4
1653375451000,22.2
1653377199000,22.4
1653377764000,22.6
1653379599000,22.8
1653380162000,22.6
1653380793000,22.8
1653382600000,23
1653384355000,23.2
1653386492000,23.2
1653387350000,23.4
1653395216000,23.6
1653396363000,23.4
1653397592000,23.6
1653398762000,23.8
1653401197000,23.6
1653401774000,23.8
1653405993000,23.6
1653409580000,23.4
1653410157000,23.6
1653410751000,23.4
1653417398000,23.2
